,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
606,130837,Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,19958,,65.0,,
607,130873,Dawn Career Institute LLC,Newark,DE,19702,,128.0,,
608,130907,Delaware Technical Community College-Terry,Dover,DE,19901,,12152.0,4904.0,
609,130934,Delaware State University,Dover,DE,19901,0.4917,3835.0,7868.0,
610,130943,University of Delaware,Newark,DE,19716,0.6639,19060.0,13680.0,
611,130989,Goldey-Beacom College,Wilmington,DE,19808,0.5323,730.0,24300.0,
612,131061,Schilling-Douglas School of Hair Design LLC,Newark,DE,19711,,123.0,,
613,131098,Wesley College,Dover,DE,19901-3875,0.6182,1163.0,26406.0,
614,131113,Wilmington University,New Castle,DE,19720,,8377.0,11210.0,
615,131159,American University,Washington,DC,20016-8001,0.3154,7485.0,48459.0,
616,131283,The Catholic University of America,Washington,DC,20064,0.8368,3294.0,45804.0,
617,131399,University of the District of Columbia,Washington,DC,20008,,3656.0,5888.0,
618,131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,20017-1585,,,,
619,131450,Gallaudet University,Washington,DC,20002-3695,0.5706,1112.0,17038.0,
620,131469,George Washington University,Washington,DC,20052,0.4187,12161.0,55230.0,
621,131496,Georgetown University,Washington,DC,20057-0001,0.1452,7089.0,54104.0,
622,131520,Howard University,Washington,DC,20059-0001,0.3159,6166.0,26756.0,
623,131803,Strayer University-District of Columbia,Washington,DC,20005,,718.0,13380.0,
624,131830,National Conservatory of Dramatic Arts,Washington,DC,20007,0.8,41.0,10200.0,
625,131876,Trinity Washington University,Washington,DC,20017-1094,0.9512,1364.0,24150.0,
626,131973,Wesley Theological Seminary,Washington,DC,20016-5690,,,,
1385,161688,Allegany College of Maryland,Cumberland,MD,21502-2596,,1833.0,4220.0,
1386,161767,Anne Arundel Community College,Arnold,MD,21012-1895,,10720.0,4670.0,
1387,161800,Award Beauty School,Hagerstown,MD,21740-5610,,130.0,,
1388,161855,Baltimore Studio of Hair Design,Baltimore,MD,21201-3444,,35.0,,
1389,161864,Baltimore City Community College,Baltimore,MD,21215-7893,,4093.0,3146.0,
1390,161873,University of Baltimore,Baltimore,MD,21201-5720,0.784,2486.0,8958.0,
1391,162007,Bowie State University,Bowie,MD,20715-9465,0.3801,5197.0,8234.0,
1392,162061,Capitol Technology University,Laurel,MD,20708,0.6890000000000001,427.0,25540.0,
1393,162104,Cecil College,North East,MD,21901-1900,,2045.0,4500.0,
1394,162122,College of Southern Maryland,La Plata,MD,20646-0910,,6399.0,3825.0,
1395,162168,Chesapeake College,Wye Mills,MD,21679-0008,,1621.0,3818.0,
1396,162210,Washington Adventist University,Takoma Park,MD,20912,0.5194,836.0,23900.0,
1397,162283,Coppin State University,Baltimore,MD,21216-3698,0.3821,2326.0,8873.0,
1398,162335,Delmarva Beauty Academy,Salisbury,MD,21804-6952,,52.0,,
1399,162371,North American Trade Schools,Baltimore,MD,21244,,453.0,,
